ingredient,unit_of_measure,grocery_list_unit,conversion_rate,is_standard_conversion,___
dry mint,small spoon,small spoon,,,
dry misithra cheese,gr,gr,,,
dry oregano,small spoon,small spoon,,,
dry pomegranate seed,small spoon,small spoon,,,
dry red chili,unit,unit,,,
dulce de leche,,,,,
egg,unit,unit,,,
egg yolk,unit,unit,,,
eggplant,gr,gr,,,
eggplant,kg,gr,1000,,
eggplant,unit,gr,200,FALSE,
extra-virgin olive oil,lt,ml,1000,TRUE,
extra-virgin olive oil,glass,ml,200,TRUE,
extra-virgin olive oil,ml,ml,,,
extra-virgin olive oil,small spoon,ml,10,TRUE,
extra-virgin olive oil,spoon,ml,30,TRUE,
extra-virgin olive oil,gr,ml,1.1,TRUE,
extra-virgin olive oil,,,,,
fava bean,kg,gr,1000,TRUE,
feta cheese,glass,gr,150,FALSE,
feta cheese,gr,gr,,,
feta cheese,spoon,gr,20,FALSE,
flavour,spoon,gr,15,FALSE,
flour,gr,gr,,,
flour,kg,gr,1000,TRUE,
flour,spoon,gr,10,FALSE,
fontina cheese,gr,gr,,,
french baguette,unit,unit,,,
fresh coriander leaf,bunch,bunch,,,
fresh coriander leaf,small spoon,small spoon,,,
fresh cream,gr,ml,1,FALSE,
fresh cream,spoon,ml,30,FALSE,
fresh cream,ml,ml,,,
fresh green chili,unit,unit,,,
fresh habanero chili,unit,unit,,,
fresh mint,bunch,gr,40,FALSE,
fresh mint,gr,gr,,,
fresh mint,leaf,gr,5,FALSE,
fresh mint,small spoon,gr,10,FALSE,
fresh mint,spoon,gr,30,FALSE,
fresh mint,,,,,
fresh oregano,gr,gr,,,
fresh oregano,spoon,gr,5,FALSE,
fresh oregano,spring,gr,15,FALSE,
fresh oregano,,,,,
fresh red chili,unit,unit,,,
fresh rosemary,spring,spring,,,
fresh soy cream,gr,gr,,,
fresh thai basil,bunch,bunch,,,
fresh thyme,small spoon,gr,5,FALSE,
fresh thyme,spring,gr,15,FALSE,
fresh thyme,,,,,
frozen pea,gr,gr,,,
garam masala,spoon,gr,30,FALSE,
garam masala,small spoon,gr,10,FALSE,
garlic,clove,clove,,,
garlic,small spoon,clove,1,FALSE,
gentiline lettuce,gr,gr,,,
ginger root,cm,gr,10,FALSE,
ginger root,gr,gr,,,
ginger root,small spoon,gr,10,FALSE,
ginger root,spoon,gr,15,FALSE,
ginger root,unit,gr,100,FALSE,
gorgonzola cheese,gr,gr,,,
grana trentino cheese,gr,gr,,,
grappa,ml,ml,,,
green apple,unit,unit,,,
greek graviera cheese,gr,gr,,,
greek pecorino cheese,gr,gr,,,
greek ricotta cheese,gr,gr,,,
greek yogurt,glass,gr,200,FALSE,
greek yogurt,gr,gr,,,
greek yogurt,spoon,gr,30,FALSE,
green bean,gr,gr,,,
green cardamom seed,unit,unit,,,
green celery,spring,gr,50,FALSE,
green grape,,,,,
green lentil,gr,gr,,,
green onion,spring,gr,20,FALSE,
green onion,unit,gr,100,FALSE,
green onion leaf,unit,unit,,,
green pepper,unit,unit,,,
ground black pepper,small spoon,small spoon,,,
ground cinnamon,small spoon,small spoon,,,
ground coriander,small spoon,small spoon,,,
ground cumin,small spoon,small spoon,,,
ground fenugreek,spoon,spoon,,,
ground turmeric,small spoon,small spoon,,,
gruyere cheese,gr,gr,,,
half peach,unit,unit,,,
hard cheese,gr,gr,,,
harissa,spoon,spoon,,,
honey,ml,ml,,,
honey,spoon,ml,30,FALSE,
iceberg salad,unit,unit,,,
icing sugar,,,,,
instant yeast,package,gr,10,FALSE,
instant yeast,small spoon,gr,3,FALSE,
isot pepper,small spoon,small spoon,,,
isot pepper,spoon,small spoon,3,TRUE,
navy bean,glass,glass,,,
khmeli-suneli,small spoon,gr,10,FALSE,
lamb meat,gr,gr,,,
lamb meat,kg,gr,1000,TRUE,
leek,unit,unit,,,
lemon,unit,unit,,,
lemon,,,,,
lemongrass,spring,spring,,,
lemon juice,glass,ml,150,TRUE,
lemon juice,spoon,ml,30,TRUE,
lemon juice,,,,,
lemon peel,unit,unit,,,
lettuce,unit,unit,,,
lettuce,,,,,
lime,unit,unit,,,
lime peel,unit,unit,,,
maggi,cube,cube,,,
mayonnaise,gr,gr,,,
mayonnaise,spoon,gr,20,FALSE,
mandarin,unit,unit,,,
mango,unit,unit,,,
manioc,unit,unit,,,
mastic gum,gr,gr,,,
mastic gum,small spoon,gr,5,FALSE,
mastic powder,small spoon,small spoon,,,
melon seed,package,package,,,
mozzarella cheese,gr,gr,,,
muenster cheese,gr,gr,,,
mushroom,gr,gr,,,
mushroom,kg,gr,1000,TRUE,
mussel,kg,kg,,,
mustard,spoon,gr,10,FALSE,
mutton meat,gr,gr,,,
non-salted butter,gr,gr,,,
non-sweetened cocoa powder,gr,gr,,,
non-sweetened cocoa powder,spoon,gr,20,FALSE,
non-sweetened coconut milk,ml,ml,,,
nutmeg,pinch,small spoon,0.3,TRUE,
nutmeg,small spoon,small spoon,,,
nutmeg,,,,,
okra,gr,gr,,,
onion,kg,gr,1000,TRUE,
onion,unit,gr,150,FALSE,
orange,unit,unit,,,
orange juice,glass,ml,200,,
orange juice,ml,ml,,,
orange peel,unit,unit,,,
ouzo,ml,ml,,,
palm oil,ml,ml,,,
paprika,small spoon,small spoon,,,
parmesan cheese,gr,gr,,,
parmesan cheese,spoon,gr,20,FALSE,
parsley,bunch,gr,50,FALSE,
parsley,glass,gr,30,FALSE,
parsley,gr,gr,,,
parsley,spoon,gr,10,FALSE,
parsley,spring,gr,30,FALSE,
parsley,,,,,
parsley root,unit,unit,,,
pastry,sheet,gr,200,FALSE,
peanut paste,small spoon,small spoon,,,
pear,unit,gr,200,FALSE,
phyllo pastry,gr,gr,,,
phyllo pastry,package,package,,,
puff pastry,gr,gr,,,
pickled cucumber,can,gr,350,FALSE,
piccadilly tomato,unit,unit,,,
pimento,small spoon,gr,5,FALSE,
pine nut,gr,gr,,,
pine nut,spoon,gr,20,FALSE,
pistachio,spoon,spoon,,,
plum,spoon,spoon,,,
pomegranate sauce,ml,ml,,,
pomegranate sauce,spoon,ml,30,TRUE,
potato,gr,gr,,,
potato,kg,gr,1000,,
potato,unit,gr,200,FALSE,
pumpkin,unit,unit,,,
pumpkin seed,gr,gr,,,
pure alcohol,gr,ml,1,TRUE,
raisin,gr,gr,,,
raisin,small spoon,gr,10,FALSE,
raki,,,,,
ras-el-hanout,small spoon,gr,10,FALSE,
red bell pepper,unit,unit,,,
red lentil,glass,gr,100,FALSE,
red mullet,kg,kg,,,
red onion,unit,unit,,,
red radish,unit,unit,,,
red wine,ml,ml,,,
red wine,glass,ml,200,,
rhum,spoon,ml,30,FALSE,
rice,glass,gr,200,FALSE,
rice,gr,gr,,,
rice noodle,gr,gr,,,
ricotta cheese,glass,gr,200,FALSE,
ricotta cheese,gr,gr,,,
robiola cheese,gr,gr,,,
rocket,,,,,
rose pepper,,,,,
sage,leaf,leaf,,,
salmon,kg,kg,,,
salt,pinch,gr,3,FALSE,
salt,small spoon,gr,5,FALSE,
salt,spoon,gr,15,FALSE,
salt,,,,,
sardine,kg,kg,,,
savoiardi biscuit,gr,gr,,,
scallion,bunch,gr,150,FALSE,
scallion,unit,gr,50,FALSE,
scallion,gr,gr,,,
semolina,spoon,spoon,,,
semolina flour,gr,gr,,,
semolina flour,kg,gr,1000,,
sesame seed,small spoon,small spoon,,,
shallot,spoon,gr,30,FALSE,
shallot,unit,gr,100,FALSE,
shrimp,gr,gr,,,
shrimp,kg,gr,1000,TRUE,
small green pepper,unit,unit,,,
small tomato,unit,unit,,,
smoked paprika,small spoon,small spoon,,,
soy sauce,spoon,spoon,,,
soya mince,gr,gr,,,
spaghetti,kg,gr,1000,TRUE,
speck,gr,gr,,,
spelt flour,gr,gr,,,
spinach,gr,gr,,,
spinach,kg,gr,1000,,
stale bread,gr,gr,,,
stale bread,slice,gr,50,FALSE,
star anise,unit,unit,,,
sugar,glass,gr,80,FALSE,
sugar,gr,gr,,,
sugar,small spoon,gr,5,FALSE,
sugar,spoon,gr,15,FALSE,
sugar powder,gr,gr,,,
sumak,small spoon,small spoon,,,
sundried tomato,gr,gr,,,
sunflower oil,ml,ml,,,
sunflower oil,glass,ml,200,,
sweet potato,gr,gr,,,
sweet potato,unit,gr,250,FALSE,
sweet vinegar,small spoon,small spoon,,,
tahini,glass,gr,150,FALSE,
tahini,spoon,gr,30,FALSE,
taleggio cheese,gr,gr,,,
tamarind paste,spoon,spoon,,,
tarhana,glass,glass, , ,
Teroldego red wine,lt,lt,,,
thai green curry paste,spoon,spoon,,,
tomato,kg,gr,1000,TRUE,
tomato,unit,gr,100,FALSE,
tomato paste,spoon,ml,30,TRUE,
tomato sauce,can,ml,400,,
tomato sauce,gr,ml,1,FALSE,
tomato sauce,spoon,ml,30,FALSE,
tomato sauce,ml,ml,,,
tomato sauce in cubes,gr,ml,1,FALSE,
tomato sauce in cubes,ml,ml,,,
tosella cheese,gr,gr,,,
tuna fish,gr,gr,,,
tuna fish,can,gr,200,FALSE,
turkish pepper paste,small spoon,small spoon,,,
turkish pepper paste,spoon,small spoon,3,TRUE,
turkish phyllo pastry,sheet,sheet,,,
urfa peyniri turkish cheese,gr,gr,,,
vanilla bean,unit,unit,,,
vanilla extract,drop,drop,,,
vanillin,small bag,small bag,,,
veal head,gr,gr,,,
veal tongue,gr,gr,,,
veal meat,gr,gr,,,
veal leg,gr,gr,,,
vegan butter,spoon,gr,15,FALSE,
vegetable broth,lt,ml,1000,TRUE,
vegetable broth,ml,ml,,,
vegetable soup concentrate,spoon,spoon,,,
vegetable stock cube,cube,cube,,,
vietnamese fish sauce,spoon,gr,30,FALSE,
walnut,glass,gr,125,FALSE,
walnut,gr,gr,,,
walnut,spoon,gr,10,FALSE,
walnut,unit,gr,10,FALSE,
walnut kernel,gr,gr, , ,
water,glass,ml,200,FALSE,
water,lt,ml,1000,TRUE,
water,ml,ml,,,
water,spoon,ml,30,TRUE,
white asparagus,gr,gr,,,
white bread,roll,gr,200,FALSE,
white onion,unit,gr,100,FALSE,
white vinegar,small spoon,ml,10,TRUE,
white vinegar,spoon,ml,30,TRUE,
white wine,glass,ml,200,,
white wine,ml,ml,,,
white wine,spoon,ml,30,FALSE,
white yogurt,glass,gr,200,FALSE,
white yogurt,gr,gr,,,
white yogurt,spoon,gr,30,FALSE,
white yogurt,,,,,
white flour type 00,kg,gr,1000,TRUE,
white flour type 00,spoon,gr,20,FALSE,
white/kamut flour,gr,gr,,,
white/kamut flour,spoon,gr,20,FALSE,
whole milk,lt,ml,1000,TRUE,
whole milk,ml,ml,,,
whole wheat flour,gr,gr,,,
worcester sauce,small spoon,ml,15,FALSE,
yeast for dessert,small spoon,small bag,1,FALSE,
yeast for dessert,small bag,small bag,,,
yellow bell pepper,unit,unit,,,
zucchini,unit,unit,,,
