country_id,name,region
209,Turks and Caicos Islands,LATIN AMER. & CARIB    
210,Tuvalu,OCEANIA                            
211,Uganda,SUB-SAHARAN AFRICA                 
212,Ukraine,C.W. OF IND. STATES 
213,United Arab Emirates,NEAR EAST                          
214,United Kingdom,WESTERN EUROPE                     
215,United States,NORTHERN AMERICA                   
216,Uruguay,LATIN AMER. & CARIB    
217,Uzbekistan,C.W. OF IND. STATES 
218,Vanuatu,OCEANIA                            
219,Venezuela,LATIN AMER. & CARIB    
220,Vietnam,ASIA (EX. NEAR EAST)         
221,Virgin Islands,LATIN AMER. & CARIB    
222,Wallis and Futuna,OCEANIA                            
223,West Bank,NEAR EAST                          
224,Western Sahara,NORTHERN AFRICA                    
225,Yemen,NEAR EAST                          
226,Zambia,SUB-SAHARAN AFRICA                 
227,Zimbabwe,SUB-SAHARAN AFRICA                 
